p_code,title,uri,apply_start,apply_end,start_age,end_age,contents,application_target,dor,si,crawling_date,expiration_flag
3680,가평장학관 입사 신청,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3680,2018-01-22 00:00:00,2018-01-26 00:00:00,,,"입사신청 : 가평장학관 홈페이지(http://www.gp.go.kr/supervisor/index.do) 구비서류 제출 : 가평군 평생교육사업소(가평군 가평읍 보납로 31, 1층)","수도권(서울,인천,경기) 소재 2년제 이상의 대학에 입학예정이거나 재학중인 학생으로 선발 공고일 현재 본인 또는 보호자가 가평군에 3년 이상 계속하여 주민등록이 되어 있는 사람",경기,가평군,2019-12-02 22:27:51,1
3682,두루누리 사회보험 지원사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3682,,,,,홈페이지접수,근로자 수가 10명 미만인 사업에 고용된 근로자 중 월평균보수가 210만원 미만인 근로자와 그 사업주,전국,전체,2019-11-20 14:30:13,2
3692,경기 청년 및 대학생(경기도청) 인턴 채용  ,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3692,2018-02-05 09:00:00,2018-02-09 18:00:00,19.0,34.0,홈페이지 접수,"경기도민 또는 경기도 소재 대학생(재학생,휴학생,졸업생)",경기,전체,2019-11-20 22:11:56,1
3693,2018년 상반기 경기 청년 및 대학생 인턴모집(공공기관),https://www.jobaba.net/sprtPlcy/info/view.do?seq=3693,2018-02-06 09:00:00,2018-02-12 18:00:00,19.0,34.0,홈페이지 지원 https://gjfin.saramin.co.kr," ❍ 사업대상 : 근무일 기준(2018.3.1) 만 19세~ 34세 이하 청년 및 대학생     ※ 경기도민 또는 경기도 소재 대학(교) 및 전문대학 재학생(휴학생,           졸업생 가능)",경기,전체,2019-11-20 22:11:56,1
3697,경기도일자리재단 찾아가는 일자리버스 3월,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3697,2018-03-02 00:00:00,2018-03-30 00:00:00,,,방문접수,경기도에 거주(소재)하는 구인·구직을 원하는 자,경기,전체,2019-11-20 22:11:56,1
3698,2018년 경기도 청년구직지원금 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3698,2018-03-12 09:00:00,2018-03-23 18:00:00,18.0,34.0,○ 신청기간 : 2018.3.12.(월) 9:00 ~ 2018.3.23.(금) 18:00○ 신청방법 : 온라인 신청(young.jobaba.net) ,"○ 공고일(18.3.9.)기준 경기도에 거주중인  중위소득 150% 이하  만18세 이상 만34세 이하 구직활동 중인 청년※ 나이요건 : 1983년 3월 10일 ~ 2000년 3월 9일 출생자※ 소득요건 :  2018년 기준 중위소득 150%이하  (4인가족  직장건강보험료 211,499원, 지역건강보험료 253,798원 이하)○ 모집인원 : 2,300명 ",경기,전체,2019-11-20 22:11:56,1
3699,2018 경기도민회장학회 장학생 및 특기생 선발,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3699,2018-02-19 00:00:00,2018-03-02 00:00:00,,,방문접수,"○ 2015년 3월 3일부터 접수일 현재까지 주민등록상 부 또는 모 (기혼자는 본인) 가 3년이상 연속하여 경기도내에서 거주하고 있는 경기도민의 자녀이거나, 경기도외지역에 거주하는 경기도민회 가입 3년 이상된 회원의 자녀로서, (※ 형제․자매인 경우도 신청 가능)○ 국내에 소재 학교에 재학중 이거나, 신입(편입) 또는 복학 예정인 학생",경기,전체,2019-11-21 09:07:39,1
3700,[과천시] 헤어관리 증명사진 비용 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3700,,,,,방문접수,과천시 거주 취업준비생(청년층 30% 우선지원),경기,과천시,2019-11-20 14:30:13,2
3702,에스토니아 IT 개발자 글로벌 채용,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3702,2018-03-15 09:00:00,2018-04-14 18:00:00,,,사람인 온라인 입사지원 또는 이메일 지원(global@gjf.or.kr),에스토니아 취업을 희망하는 누구나 ※ 자세한 자격요건은 각기 상이,전국,전체,2019-11-20 14:30:13,1
3704,경기도 일하는 청년통장 2018년 상반기 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3704,2018-03-26 09:00:00,2018-04-06 18:00:00,17.0,34.0,○ 온라인 접수○ 문의처- 경기도 콜센터 031-120- 일하는 청년통장 콜센터 1800-0104 (26일부터 문의가능),1.공고일 기준 경기도 거주 만 18세 이상~만 34세 이하 일하는 청년(*1983.3.17~2000.3.16 출생자)2. 소득기준이 중위소득 100%이하인 가구(건강보험료 부과금 활용),경기,전체,2019-11-21 09:07:39,1
3707,2018 경기도 뿌리산업 취업지원사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3707,2018-03-27 00:00:00,2018-06-11 00:00:00,19.0,65.0,"이메일접수, 방문접수",경기도내 19세 이상~65세 미만의 미취업자,경기,전체,2019-11-20 14:30:13,1
3708,2018년 상반기 일자리우수기업 인증제,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3708,2018-03-22 09:00:00,2018-04-17 18:00:00,,,방문접수 및 우편접수(마감당일 소인분에 한함),"○ 도내 3년 이상 소재(본사 또는 주공장) 및 결산한 중소기업 중소기업기본법 시행령 제3조(중소기업의 범위)에 의한 중소기업으로서 일자리 증가율, 근무환경, 기업성장성이 우수한 기업○ 최근 1년간 근로자 고용증가율이 10%이상이면서 고용증가 인원이 5명 이상인 기업 또는 최근 1년간 고용증가 인원이 10명 이상인 기업",전국,전체,2019-11-20 14:30:13,1
3709,2018년 상반기 경기도 대학생 학자금 대출이자 지원 ,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3709,2018-03-05 00:00:00,2018-05-31 00:00:00,,,홈페이지접수,"○ 직계존속(부모, (외)조부모)이 공고일(3.5) 기준 1년이상 경기도에 주민등록이 되어있는 대학생(휴학생 포함, 졸업자, 대학원생 제외) 으로 (단, 직계존속이 사망 등 부득이한 경우 본인기준으로 1년이상 경기도에 주민등록이 되어있는 대학생)○ 한국장학재단에서 학자금 대출을 받고 대출당시 소득분위 8분위에 해당되는 대학생 (단, 다자녀(3명 이상)가구의 대학생은 소득분위 관계없이 지원)",경기,전체,2019-11-21 09:07:39,1
3710,[군포시] 청년날개(면접정장 무료대여),https://www.jobaba.net/sprtPlcy/info/view.do?seq=3710,2019-01-01 00:00:00,2019-12-31 00:00:00,18.0,39.0,방문신청 (워크넷 구직등록자는 팩스 신청 가능),관내 거주 청년 구직자(만18~39세)※ 관내 고등학교/대학교 졸업예정자 및 졸업생 포함,경기,군포시,2019-11-20 14:30:13,0
3713,글로벌 잡 디스커버리(Global Job Discovery) 참가자 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3713,2018-04-09 00:00:00,2018-05-08 18:00:00,18.0,34.0,"잡아바에서 글로벌잡디스커버리 신청서 & 일문이력서 다운로드 후 작성하여 증빙서류(초본, 졸업(예정)증명서)와 함께 이메일(global@gjf.or.kr) 접수","경기도 내 거주하는 만 19세~ 34세 이하 청년, 대학졸업(예정)자로 일본취업을 희망하는 일본어(문서작성, 비즈니스 회화)가능한자 ※ 타시도민으로 경기도소재 대학졸업(예정)자 가능",전국,전체,2019-11-20 14:30:13,1
3721,경기도 가족친화 일하기 좋은 기업(GGWP) 인증 사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3721,2018-04-09 00:00:00,2018-05-25 00:00:00,,,"홈페이지접수, 이메일접수, 방문접수, 우편","○ 업력 2년 이상으로 주된 사무소나 제조시설이 경기도에 소재하고 있는 기업또는 2015년 인증된 유효기간이 종료한 대상기관으로 다음 각 사항에 해당하지 않는 기업- 유흥·향락업, 숙박·음식점 등 부적합 업종 영위기업- 대표자가 금융기관 등으로부터 금융질서 문란자로 관리중인 기업, 금융기관과 정상적인 거래를 할 수 없는 기업- 임금체불, 환경오염, 불법공장 등 사회적 물의를 빚은 기업- 공고일 현재 국세 및 지방세 체납기업 ",경기,전체,2019-11-20 14:30:13,1
3726,경기청년+4 Trade Manager 육성과정 교육생 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3726,2018-04-23 00:00:00,2018-06-08 18:00:00,18.0,34.0,잡아바에서 신청서 다운로드 후 작성하여 증빙서류와 함께 이메일(global@gjf.or.kr) 접수,경기도 내 거주하는 만 18세이상 만 34세이하 청년·대학생·외국인유학생·다문화인으로서 신청분야 외국어 사용이 원활한자※ 타시도민으로 경기도소재 대학교 학생도 신청이 가능함,경기,전체,2019-11-20 14:30:13,1
3727,2018년 하반기 경기도일자리재단 정규직 채용,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3727,2018-11-07 00:00:00,2018-11-12 17:00:00,,61.0,"홈페이지 접수(https://gjf.saramin.co.kr) * 응시원서 접수기간 중 24시간 가능, 단 접수마감일은 17:00 까지 접수함","임용예정일(19'.1.) 기준, 정년연령이 만 61세 미만자지역, 성별의 제한 없음(단, 남자의 경우 병역을 필하였거나 면제된 자)재단 채용결격사유에 해당하지 아니한자",경기,전체,2019-11-20 14:30:13,1
3729,2018년 경기도 여성기업 맞춤 솔로몬 지원사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3729,2018-04-26 18:00:00,2018-05-25 18:00:00,,,이지비즈 온라인 접수 (www.egbiz.or.kr),○ 경기도 소재 여성기업- 경기도 소재(공장 또는 본사 소재)- 여성이 실질적으로 경영하는 기업  ※ 여성(등기 임원)이 최대출자자인 “상법”상의 회사  ※ 소득세법 또는 부가가치세법에 따라 사업자등록을 한 사업체  ※ 근거 : “여성기업지원에 관한 법률” 시행령 제2조(여성기업의 정의) ,경기,전체,2019-11-20 14:30:13,1
3731,2018년 여성기업 국내외 오픈마켓 전시전 참가기업 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3731,2018-04-26 17:00:00,2018-05-25 18:00:00,,,이지비즈 홈페이지접수 (www.egbiz.or.kr),○ 경기도 소재 여성기업  - 여성이 실질적으로 경영하는 기업  ① 대표권 있는 임원으로 등기되어 있는 여성이 최대출자자인 “상법” 상의 회사  ② 소득세법 또는 부가가치세법에 따라 사업자등록을 한 사업체  ※ 근거 : “여성기업지원에 관한 법률” 시행령 제2조(여성기업의 정의)  - 경기도 소재(공장 또는 본사 소재),전국,전체,2019-11-20 14:30:13,1
3733,근로자 신용보증지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3733,,,,,"방문접수, 온라인접수","아래 해당하는 자를 제외한 신용보증대상 융자사업의 융자결정자※ 한국신용정보원의 일반신용정보관리규약에 따라 연체, 대위변제·대지급, 부도, 금융질서문란, 공공정보, 특수기록정보 등의 신용정보가 등록된 자※ 공단으로부터 신용보증지원을 받은 후 부정대부 신청, 용도외 사용 등으로 융자결정이 취소된 사실이 있는 자※ 대부실행 금융기관에 연체정보등이 남아있는 경우 ",전국,전체,2019-11-20 14:30:13,2
3735,장애인 직업능력평가,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3735,,,,,방문접수,장애인,전국,전체,2019-11-20 14:30:13,2
3736,온라인 진로정보망 커리어넷,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3736,,,,,온라인접수,누구나,전국,전체,2019-11-20 14:30:13,2
3747,경기도 버스업체 운수종사자 통합 채용,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3747,2019-01-01 00:00:00,,,,시군 일자리센터에 문의,운전기사,경기,전체,2019-11-20 14:30:13,0
3748,북한이탈주민 창업 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3748,,,,,방문접수,북한이탈주민 중 창업 희망자 및 기창업자,전국,전체,2019-11-20 14:30:13,2
3752,장애인 근로지원인 지원 사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3752,,,,,방문접수, 장애인 근로자,전국,전체,2019-11-20 14:30:13,2
3756,건설근로자 퇴직공제금 지급사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3756,,,,,"- 방문, 우편, 팩스, 이메일, 온라인 신청(http://www.cwma.or.kr/1122) - 처리 절차 ※ 퇴직공제금 신청(청구서 및 증빙서류) → 접수 → 심사 → 지급(지급통보) ",건설근로자,전국,전체,2019-11-20 14:30:13,2
3759,산재근로자 사회심리재활 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3759,,,,,방문접수,다차원심리검사결과 임상척도 총점 또는 임상척도별 점수가 60점 이상인 요양 중인 산재근로자,전국,전체,2019-11-20 14:30:13,2
3766,시간선택제 일자리 제도,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3766,,,,,시간선택제 전환 제도를 도입·운영하고 근로자의 필요에 따라 일정기간 근로시간 단축을 허용한 사업주,시간선택제 전환을 허용한 사업주,전국,전체,2019-11-20 14:30:13,2
3767,장애인 직업생활상담원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3767,2018-03-05 00:00:00,2018-08-17 00:00:00,,,○ 전화 및 온라인 신청  - EDI 사이버연수원(http://cyedu.kead.or.kr)이용  - 회원가입 후 교육신청,○ 기업,전국,전체,2019-11-20 14:30:13,1
3772,세대간 상생 고용지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3772,2018-05-01 00:00:00,2018-06-01 00:00:00,,,"○ 홈페이지접수, 방문접수, 우편접수 ",○ 중소기업,전국,전체,2019-11-20 14:30:13,1
3773,산재근로자 생활안정자금 융자,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3773,,,,,각 지역본부 또는 온라인신청,월평균 소득이 중위소득(3인가구 기준) 이하인 자,전국,전체,2019-11-20 14:30:13,2
3774,근로자 건강 보호 및 증진 비용 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3774,2018-04-27 00:00:00,2018-12-31 00:00:00,,,"○ 지원신청서(제안서, 예산집행계획서) 1부  ※ 양식은 공단 홈페이지에서 다운받아 활용",○ 기업,전국,전체,2019-11-20 14:30:13,1
3775,고령자 인재은행,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3775,,,50.0,,방문 및 전화문의,만 50세 이상 장년,전국,전체,2019-11-20 14:30:13,2
3778,중소기업 장기근속자 주택우선공급,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3778,,,,,지방 중소벤처기업청에 방문 또는 우편 신청･접수,중소기업 근로자로서 중소기업에 5년 이상 근무하거나 동일한 중소기업에 3년 이상 근무한 경력을 가진 무주택 세대구성원,전국,전체,2019-11-20 14:30:13,2
3780,외국인노동자지원센터,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3780,,,,,각 지역 외국인력지원센터 방문접수,외국인노동자 및 고용사업주,전국,전체,2019-11-20 14:30:13,2
3781,부당해고 등 구제신청,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3781,,,,,해당 근로자,근로자,전국,전체,2019-11-20 14:30:13,2
3783,직장어린이집  설치비 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3783,,,,,"방문접수, 우편접수",고용보험에 가입한 사업장의 사업주 및 사업주단체,전국,전체,2019-11-20 14:30:13,2
3784,장애인 고용관리비용 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3784,,,,,방문접수,"중증 장애인을 고용하여 기준에서 정한 자격을 갖춘 작업 지도원을 위촉, 선임, 배치하여 작업 지도를 실시한 사업주",전국,전체,2019-11-20 14:30:13,2
3787,직장 내 성희롱 예방교육 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3787,,,,,전화접수,사업장,전국,전체,2019-11-20 14:30:13,2
3791,이공계 여성인재 육성 이공계 여성 멘토링,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3791,,,,,홈페이지접수,이공계 관련 여성,전국,전체,2019-11-20 14:30:13,0
3795,중증장애인 지원고용(훈련수당),https://www.jobaba.net/sprtPlcy/info/view.do?seq=3795,,,,,"방문접수, 우편접수",중증 장애인을 고용하는 사업장,전국,전체,2019-11-20 14:30:13,2
3796,무급휴업 휴직 근로자 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3796,,,,,사업장 소재지 관할 고용센터에 신청,무급휴업휴직 승인사업장의 근로자 및 사업주,전국,전체,2019-11-20 14:30:13,2
3798,근로자 건강센터 ,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3798,,,,,방문접수,모든 근로자를 대상으로 하되 건강관리에 취약한 50인 미만 사업장 근로자를 우선적으로 지원 ,전국,전체,2019-11-20 14:30:13,2
3803,콘텐츠제작종합지원센터 운영,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3803,,,,,온ㆍ오프라인 응대창구 운영,"청년(재직자, 구직자)",전국,전체,2019-11-20 14:30:13,2
3804,자원개발기능인력양성과정 - 마이닝센터,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3804,,,15.0,,직접 방문,"- 만15세 이상 구직자 - 일반계고등학교 2017년 졸업예정자 중 비진학 예정자 - 대학교 최종학년 재학생으로 2017년 9월 1일 이전까지 졸업예정자(단, 휴학생은 제한적 적용) ※ 제외대상 : 교육시작 시점 기준 고용보험 가입자, 개인명의 사업자 등록증 소지자, 직업교육 3회이상 수강자는 지원대상에서 제외",전국,전체,2019-11-20 14:30:13,2
3809,공공직장어린이집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3809,,,,,방문접수,기혼여성 근로자,전국,전체,2019-11-20 14:30:13,2
3811,체불임금 해결 방법 진정 고소,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3811,,,,,고용노동부 홈페이지에 체불임금 민원신청을 한후 필요 시 사전상담을 한 후에 진정 또는 고소 여부 결정 -> 사업장 소재지 관할 지방고용노동관서에 제기, 재직자,전국,전체,2019-11-20 14:30:13,2
3813,아르바이트 피해 신고,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3813,,,,,온라인 접수,"임금 미지급, 최저임금 위반, 장시간 근로, 일하다가 다친 경우이거나 산재보험 미적용, 성희롱 등의 아르바이트 피해를 본 국민",전국,전체,2019-11-20 14:30:13,2
3822,장애인 고용포털 워크투게더,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3822,,,,,온라인 접수,장애인 구직자,전국,전체,2019-11-20 14:30:13,2
3834,제대군인 전직지원금,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3834,,,,,"방문, 우편, 웹사이트(정부전자민원) ","실업상태의 군인연금 비대상 중, 장기복무 제대군인",전국,전체,2019-11-20 14:30:13,2
3839,장애인 고용의무제도,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3839,,,,,방문 또는 온라인 문의,장애인 고용 사업주,전국,전체,2019-11-20 14:30:13,2
3840,여성인재데이터베이스 등록 서비스,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3840,,,,,온라인접수,여성인재 데이터베이스 수록 기준에 해당하는 사람 ,전국,전체,2019-11-20 14:30:13,2
3841,산재근로자 직장 복귀 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3841,,,,,"방문, 우편, 토탈 ",산재장해등급 제1급~제12급에 해당하는 소속 재해자를 복귀시켜 고용을 유지한 사업주,전국,전체,2019-11-20 14:30:13,2
3844,공무원 연금 대출,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3844,,,,,온라인 접수,공무원연금법 제3조 및 동 법 시행령 제2조에 의한 공무원 ,전국,전체,2019-11-20 14:30:13,2
3845,장애인표준사업장 설립지원 제도,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3845,,,,,방문접수,장애인 표준사업장을 설립·운영하거나 설립하려는 사업주,전국,전체,2019-11-20 14:30:13,2
3850,장애학생 취업지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3850,,,,,전화문의 ,고등학교 및 전공과 재학 중인 장애학생,전국,전체,2019-11-20 14:30:13,2
3860,구직급여,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3860,,,,,"구직신청(웹사이트), 수급자격 인정 신청서(방문) ",하단의 자격요건 참고,전국,전체,2019-11-20 14:30:13,2
3862,건설일용근로자 기능향상 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3862,,,,,방문접수,건설일용근로자(하단 상세조건 참고),전국,전체,2019-11-20 14:30:13,2
3863,국가보훈대상자 취업능력개발지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3863,,,,,주소지 관할 보훈청 방문 및 우편 신청,취업에 필요한 자격이나 능력 등을 개발하려는 국가보훈대상자(취업지원대상자),전국,전체,2019-11-20 14:30:13,2
3864,퇴직연금 사업 운영,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3864,,,,,"홈페이지접수, 전화접수",상시근로자 30인 이하 사업장의 근로자,전국,전체,2019-11-20 14:30:13,2
3865,건설근로자 무료취업 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3865,,,,,- 홈페이지 및 모바일 앱을 통한 이용- 건설근로자 취업지원센터 문의,구직자 및 구인자,전국,전체,2019-11-20 14:30:13,2
3869,보육교사 근무환경개선비 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3869,,,,,온라인접수,담임교사 및 어린이집 원장(하단 참조),전국,전체,2019-11-20 14:30:13,2
3871,외교부 국제기구 인력 Pool 제도,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3871,,,50.0,,홈페이지접수,24-50세로 한국국적 보유자 등,전국,전체,2019-11-20 14:30:13,2
3874,작업환경측정 비용 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3874,,,,,"○ 신청(사업장)   - 대상 선정(공단)   - 작업환경측정실시(사업장 -> 측정기관)   - 결과 통보 및 비용 청구(측정기관 -> 공단)   - 결과 심사 및 비용 지급(공단 -> 측정기관) ○ 신청기간  - 상반기(2월), 하반기(6월)  - 신규측정 사업장은 수시접수   ※ 신규측정 사업장은 `14년 이후 측정 미실시 사업장   ※ 상반기(2월) 비용지원 신청 접수는 마감",○ 기업○ 산재보상 보험법의 적용을 받는 20인 미만 사업장 중 작업환경측정 대상 유해인자 보유 사업장   - 시행규칙 제93조 별표 11의 5「작업환경측정 대상 유해인자」보유 사업장에 한함 ,전국,전체,2019-11-20 14:30:13,2
3875,건설근로자 결혼출산 지원금,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3875,,,,,"인터넷, 방문, 우편접수","신청서 접수일로부터 2년 이내 결혼이나 출산을 하였으며 사유발생일(혼인신고일 또는 자녀출생일) 기준 퇴직공제 적립일수가 총 252일 이상이고, 1년 이내 100일 이상 적립된 근로자",전국,전체,2019-11-20 14:30:13,2
3877,취업촉진수당,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3877,,,,,방문접수,고용보험 가입 근로자 중 실직자 ,전국,전체,2019-11-20 14:30:13,2
3879,북한이탈주민 영농종사자 지원 사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3879,,,,,온라인 문의,북한이탈주민,전국,전체,2019-11-20 14:30:13,2
3881,장애인 시설장비무상지원 사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3881,,,,,방문접수,장애인 고용 기업,전국,전체,2019-11-20 14:30:13,2
